Country Name,GDP growth (annual %),GDP (constant 2015 US$),GDP per capita (constant 2015 US$),"Agriculture, forestry, and fishing, value added (% of GDP)","Industry (including construction), value added (% of GDP)","Manufacturing, value added (% of GDP)","Services, value added (% of GDP)"
Puerto Rico,-3.903305193,92660076633,29010.36014,0.618005145,51.131345,48.24289328,48.84121611
Qatar,-3.557603999,1.61E+11,56026.88724,0.338750394,52.33343073,7.911260411,52.74386804
Romania,-3.930454057,2.09E+11,10828.45145,3.836326658,26.36715612,15.77672202,60.89763922
Russian Federation,-2.951273899,1.42E+12,9666.814664,3.70019612,29.98648754,13.25577905,56.26749319
Rwanda,-3.355472122,10807188692,834.3896159,26.2519547,19.32914778,9.002964075,46.41591508
Samoa,-2.5926083,864485987.5,4357.068633,10.25025333,14.88620264,5.445641661,74.86354403
Sao Tome and Principe,3.089725555,370868351.9,1692.218743,13.991797,13.23842781,5.567562241,70.83135139
Saudi Arabia,-4.106583413,6.51E+11,18691.24742,2.562572274,41.3646283,12.9655545,56.23534799
Senegal,1.499763427,22852755934,1364.838239,17.0256912,23.21632479,13.99863479,49.94349858
Serbia,-0.944596516,45184791299,6540.724693,6.342971286,24.88948135,13.27487798,51.86235954
Seychelles,-10.77092148,1386262377,14079.16127,1.886994746,13.70751581,9.129409242,68.13659269
Sierra Leone,-1.96894782,4976753934,623.8890927,59.48739589,5.243410348,1.884905711,30.98335844
Singapore,-5.391021406,3.30E+11,58056.80642,0.032402756,24.36503922,20.53550244,70.94794476
Slovak Republic,-4.358753808,94731014312,17353.73081,1.757702139,27.36407082,17.53884776,60.38901184
Slovenia,-4.229261389,48124693311,22915.14572,2.12220688,29.36277653,20.65930239,56.92527988
South Africa,-6.431974826,3.36E+11,5659.206949,2.527584146,23.42227545,11.74350589,64.57367085
Spain,-10.82288649,1.18E+12,24935.39945,3.148006859,20.37037367,11.02689251,67.7622314
Sri Lanka,-3.569076137,88832160056,4052.746934,8.361194437,26.24753694,16.20499573,59.66566522
St. Kitts and Nevis,-14.39999655,973116706.1,18294.41845,1.43647281,23.13706193,5.069898036,64.14426737
St. Lucia,-20.37364179,1588638627,8651.349333,2.244542205,11.06140319,3.837394382,73.10691811
St. Vincent and the Grenadines,-3.252833908,772496631.2,6962.753668,7.292975809,13.71446394,3.774917667,62.51318698
